Steve (I);Lawrence;M
Denis;Lawson;M
Derek;Lea;M
Richard;Leaf;M
Bernard;Ledger;M
Nathaniel;Lee Jr.;M
Jason (I);Lee;M
Tommy (VI);Lee;M
Zachary;Lee;M
John;Lees;M
Tim;Leffman;M
David;Legeno;M
Adam;LeGrant;M
Ron;Leibman;M
David;Leitch;M
Curtis;LeMay;M
Jack;Lemmon;M
Thomas (III);Lennon;M
Richard;LeParmentier;M
Ray;LePere;M
Jared;Leto;M
Al;Lettieri;M
Ken (I);Leung;M
Jay;Levey;M
Gus;Lewis;M
Lennox;Lewis;M
David;Lewison;M
Brian;Libby;M
Richard;Lifschutz;M
Michael;Lightsey;M
Chandler;Lindauer;M
Van;Ling;M
Jeff;Lipman;M
Andrew;Lipschultz;M
Gaetano;Lisi;M
Laine;Liska;M
John;Lithgow;M
Chia Hui;Liu;M
Ron;Livingston;M
Tyrone R.;Livingston;M
John (II);Locke;M
Henry Cabot;Lodge;M
Spain;Logue;M
David S.;Lomax;M
Mike;Longman;M
Shep;Lonsdale;M
Dean;Lopata;M
Scotch Ellis;Loring;M
Jonathan;Loughran;M
Todd;Louiso;M
Jim;Lovell;M
Lawrence;Lowe;M
Patrice;Lumumba;M
Morgan;Lund;M
Jacob Neal;Lunders;M
Will;Lyman;M
Don (II);Lynch;M
John Carroll;Lynch;M
Austin;Lysy;M
K. Todd;Lytle;M
Bernie;Mac;M
James (I);MacArthur;M
Ryan (I);MacDonald;M
Frank;Macetta;M
Angus;Macfadyen;M
Angus;MacInnes;M
Kevin Scott;Mack;M
Andrew;Mackin;M
William H.;Macy;M
Michael (I);Madsen;M
Ken;Magee;M
Augusto;Magoni;M
George;Maguire;M
Kabir;Mahjoori;M
Jun;Maki;M
Joshua;Malina;M
Peter (I);Maloney;M
Method;Man;M
Alf;Mangan;M
Scott (I);Mann;M
J.P.;Manoux;M
Clint;Mansell;M
Paul;Mantee;M
William;Mapother;M
Adam;Maras;M
Bob;Maras;M
Noah;Margetts;M
Mark;Margolis;M
Jason;Marin;M
Nicholas;Marino;M
Brian;Markinson;M
Ben;Marley;M
John;Marley;M
Akaji;Maro;M
Kenneth;Mars;M
Charles (II);Marsh;M
James (I);Marshall;M
Robert (II);Marshall;M
B.J.;Martin;M
Brad (I);Martin;M
John C.;Martin;M
Johnny (I);Martin;M
Steve (I);Martin;M
Lou;Martini Jr.;M
Al;Martino;M
John (I);Martino;M
Owen;Masterson;M
Tim (I);Matheson;M
John M.;Mathews;M
Walter;Matthau;M
Al;Matthews;M
Brad;Mavis;M
James;Mawhinney;M
Paul (I);Maxwell;M
Seth Michael;May;M
Peter (II);Mayhew;M
Jeff (I);Maynard;M
Stan;Mazin;M
Holt;McCallany;M
Rick (I);McCallum;M
Eugene (III);McCarthy;M
Kevin (I);McCarthy;M
